title	pct	text_de	text_fr	text_en	inst	dy_text	negative	opposites	rank
ip_researchpartner	15	15 % stellen Forschungspersonal des Forschungspartners an.	15 % recrutent du personnel de recherche du partenaire de recherche.	15 % recruit research staff from the research partner.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ip_success	73	der Forschungspartner bezeichnen das Projekt als grossen oder sehr grossen Erfolg.	des partenaires de recherche considèrent le projet comme un grand ou très grand succès.	of research partners rate the project as a great or very great success.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ip_success	41	Bei den Umsetzungspartner sind es 41 %.	Chez les partenaires de mise en œuvre, ce chiffre est de 41 %.	For implementation partners, the figure is 41%.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ip_time_to_market	57	der Innovationen sind entweder drei Jahren nach Abschluss umgesetzt oder ihre Umsetzung ist innerhalb von zwei Jahren geplant.	des innovations sont soit mises en œuvre trois ans après la fin du projet, soit leur mise en œuvre est prévue dans les deux ans.	of innovations are either implemented three years after completion or their implementation is planned within two years.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
ip_time_to_market	44	45 % der Innovationen sind nach Projektabschluss oder innerhalb eines Jahres eingeführt.	45 % des innovations sont introduites après la fin du projet ou dans un délai d'un an.	45% of innovations are introduced after project completion or within one year.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ip_wtt	76	der Unternehmen berichten über eine Stärkung des WTT drei Jahre nach Projektabschluss.	des entreprises font état d'un renforcement du TST trois ans après la fin du projet.	of the companies report a strengthening of KTT three years after project completion.	Förderung für Schweizer Innovationsprojekte	-95	false	false	pct1
ip_wtt	60	60 % haben auf Basis der Projektergebnisse weitere Projekte oder neue Innovationsideen entwickelt.	60 % ont développé d'autres projets ou de nouvelles idées d'innovation sur la base des résultats du projet.	60% have developed further projects or new innovation ideas based on the project results.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ipr_impl_goals	33	der Forschungspartner erreichen ihre anwendungsorientierten Ziele vollständig oder übertreffen sie.	des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs d'application.	of research partners fully achieve or exceed their application-oriented goals.	Förderung für Schweizer Innovationsprojekte	-85	true	true	pct1
ipr_impl_goals	3	3 % erreichen die Ziele nicht oder nur ungenügend.	3 % n'atteignent pas les objectifs ou les atteignent de manière insuffisante.	3 % do not achieve their goals or do not achieve them sufficiently.	Förderung für Schweizer Innovationsprojekte	0	true	true	pct2
ipr_imppartner	70	der Forschungspartner haben mit potenziellen Umsetzungspartner zusammengearbeitet.	des partenaires de recherche ont collaboré avec des partenaires de mise en œuvre potentiels.	of the research partners have worked with potential implementation partners.	Förderung für Schweizer Innovationsprojekte	-5	false	false	pct1
ipr_imppartner	38	Bei 38 % ist die Ausgründung eines Start-ups oder Spin-offs erfolgt oder geplant.	Dans 38 % des projets, la création d'une start-up ou d'un spin-off a eu lieu ou est prévue.	In 38% of the projects, a spin-off or start-up has been founded or is planned.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ipr_inter_trans	56	der geförderten Projekte sind interdisziplinär.	des projets financés sont interdisciplinaires.	of the funded projects are interdisciplinary.	Förderung für Schweizer Innovationsprojekte	-85	false	false	pct1
ipr_inter_trans	5	5 % der Projekte sind transdisziplinär.	5 % des projets sont transdisciplinaires.	5 % of the projects are transdisciplinary.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ipr_peer_review	77	der Forschungspartner publizieren ihre wissenschaftlichen Ergebnisse in Fachzeitschriften.	des partenaires de recherche publient leurs résultats scientifiques dans des revues spécialisées.	of research partners publish their results in scientific journals.	Förderung für Schweizer Innovationsprojekte	-85	false	false	pct1
ipr_peer_review	34	Bei 34 % der geförderten Projekte werden Dissertationsprojekte verfolgt.	Dans 34 % des projets financés, des projets de thèse sont poursuivis.	Dissertation projects are pursued in 34% of the funded projects.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
ipr_research_goals	58	der Forschungspartner erreichen ihre Forschungsziele vollständig oder übertreffen sie.	des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs de recherche.	of research partners fully achieve or exceed their research goals.	Förderung für Schweizer Innovationsprojekte	-85	true	true	pct1
ipr_research_goals	3	Nur 3 % erreichen die Ziele nicht oder nur ungenügend.	Seuls 3 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.	Only 3 % do not achieve their goals or do not achieve them sufficiently.	Förderung für Schweizer Innovationsprojekte	0	true	true	pct2
is_connection	53	der KMU haben erstmalig mit einem Forschungspartner zusammengearbeitet.	des PME ont collaboré pour la première fois avec un partenaire de recherche.	of SMEs worked with a research partner for the first time.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
is_ideas	77	der Innovationsideen werden weiterverfolgt.	des idées d'innovation sont poursuivies.	of innovation ideas continue to be pursued.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
is_ideas	26	26 % der KMU starten nach Abschluss des Innovationsschecks ein Innosuisse-Innovationsprojekt oder planen dies in einem Jahr.	26 % des PME lancent un projet d'innovation Innosuisse après la fin du Chèque d'innovation ou prévoient de le faire dans un an.	26 % of SMEs start an Innosuisse innovation project after completing the Innovation cheque or plan to do so in a year.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct2
is_mitnahme	19	der KMU hätten die Innovationsidee ohne Förderung in leicht veränderter Form geprüft.	des PME auraient examiné l'idée d'innovation sous une forme légèrement modifiée sans encouragement.	of SMEs would have tested the innovation idea in a slightly different form without funding.	Förderung für Schweizer Innovationsprojekte	0	true	false	pct1
is_mitnahme	8	8 % der KMU hätten die Innovationsidee in dergleichen Form geprüft.	8 % des PME auraient examiné l'idée d'innovation sous la même forme.	8 % of SMEs would have tested the innovation idea in the same form.	Förderung für Schweizer Innovationsprojekte	0	true	false	pct2
is_project_goals	68	der KMU erreichen ihre Projektziele vollständig oder übertreffen sie.	des PME atteignent entièrement ou dépassent les objectifs de leur projet.	of SMEs either fully achieve their project goals or exceed them.	Förderung für Schweizer Innovationsprojekte	-58	true	true	pct1
is_project_goals	7	Nur 7 % erreichen ihre Ziele nicht oder nur ungenügend.	Seules 7 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.	Only 7 % do not achieve their goals or do not achieve them sufficiently.	Förderung für Schweizer Innovationsprojekte	0	true	true	pct2
is_wtt	70	der KMU arbeiten nach Abschluss mit dem Forschungspartner weiter zusammen.	des PME continuent à collaborer avec le partenaire de recherche après la fin du projet.	of SMEs continue to work with the research partner after completion.	Förderung für Schweizer Innovationsprojekte	0	false	false	pct1
scc_capital	72	der Start-ups haben erfolgreich Risikokapital akquiriert.	des start-ups ont réussi à lever du capital-risque.	of start-ups have successfully acquired venture capital.	Begleitung von Start-ups	0	false	false	pct1
scc_capital	21	21 % haben über 5 Million Fr. akquiriert	21% ont levé plus de 5 millions de francs .	21 % have acquired over CHF 5 million	Begleitung von Start-ups	0	false	false	pct2
scc_expection	84	der Start-ups berichten, dass Ihre Erwartungen mehrheitlich erfüllt worden sind.	des start-ups rapportent que leurs attentes ont été majoritairement satisfaites.	of start-ups report that their expectations have been largely met.	Begleitung von Start-ups	0	false	false	pct1
scc_expection	48	Bei 48 % sind die Erwartungen vollständig erfüllt oder gar übertroffen.	Pour 48 %, les attentes ont été entièrement satisfaites, voire dépassées.	For 48%, expectations have been fully met or even exceeded.	Begleitung von Start-ups	0	false	false	pct2
scc_foreign	67	der Start-up-Teams haben mindestens ein Gründungsmitglied mit ausländischem Bürgerrecht.	des équipes de start-ups comptent au moins un membre fondateur de nationalité étrangère.	of start-up teams have at least one founding member with foreign citizenship. 	Begleitung von Start-ups	0	false	false	pct1
scc_foreign	43	Insgesamt sind durchschnittlich 43 % der Gründungsteams ausländische Mitglieder.	Au total, 43 % en moyenne des membres des équipes fondatrices sont étrangers.	Overall, an average of 43% of founding teams are foreign members.	Begleitung von Start-ups	0	false	false	pct2
scc_gender	35	der Start-up-Teams haben mindestens eine weibliche Gründerin.	des équipes de start-ups comptent au moins une fondatrice.	of start-up teams have at least one female founder.	Begleitung von Start-ups	0	false	false	pct1
scc_gender	17	Insgesamt sind durchschnittlich 17 % der Gründungsteams Frauen.	Au total, 17 % en moyenne des membres des équipes fondatrices sont des femmes.	Overall, an average of 17 % of start-up teams are women.	Begleitung von Start-ups	0	false	false	pct2
scc_market	79	sind nach Coachingabschluss auf dem Markt oder planen dies in 12 Monaten.	sont sur le marché ou prévoient de l'être dans les 12 mois suivant la fin du coaching.	are on the market after the coaching has ended or plan to be in 12 months.	Begleitung von Start-ups	0	false	false	pct1
scc_new_to_market	77	der Start-ups entwickeln eine Neuheit für internationale Märkte.	des start-ups développent une nouveauté pour les marchés internationaux.	of start-ups develop a novelty for international markets.	Begleitung von Start-ups	0	false	false	pct1
scc_new_to_market	65	65 % der Start-ups verfolgen disruptive Innovationen.	65 % des start-ups poursuivent des innovations disruptives.	65 % of start-ups pursue disruptive innovations.	Begleitung von Start-ups	0	false	false	pct2
scc_patent	69	der Start-ups mit Patenten oder Patentanmeldungen (geplant und erfolgt).	des start-ups ont déposé des brevets ou des demandes de brevet (prévues ou réalisées).	of start-ups have patents or patent applications (planned or in progress).	Begleitung von Start-ups	0	false	false	pct1
scc_profitable	31	der Start-ups sind drei Jahre nach Abschluss des Coachings profitabel (Break-even).	des start-ups sont rentables (« break-even ») trois ans après la fin du coaching.	of start-ups are profitable (break-even) three years after the coaching has ended.	Begleitung von Start-ups	0	false	false	pct1
scc_profitable	11	Direkt bei Abschluss sind es 11 %.	11 % le sont dès la fin du coaching.	Immediately after completion, the figure is 11%.	Begleitung von Start-ups	0	false	false	pct2
scc_radikal_inkr	55	der Start-ups verfolgen radikale Innovationen.	des start-ups poursuivent des innovations radicales.	of start-ups pursue radical innovations.	Begleitung von Start-ups	0	false	true	pct1
scc_radikal_inkr	9	9 % inkrementelle Innovationen.	9 % des innovations incrémentales.	9 % pursue incremental innovations.	Begleitung von Start-ups	0	false	true	pct2
scc_sector	51	der Start-ups sind im Themengebiet «Life Sciences, Medtech und Health Care» tätig.	des start-ups sont actives dans le domaine thématique « Sciences de la vie, technologie médicale et soins de santé ».	of start-ups operate in the field of life sciences, medtech and health care.	Begleitung von Start-ups	0	false	false	pct1
scc_start_spin	50	der Start-ups sind aus Forschungsinstituten gegründet worden.	des start-ups ont été créées à partir d'institutions de recherche.	of start-ups have been founded by research institutes.	Begleitung von Start-ups	0	false	false	pct1
scc_start_spin	32	32 % sind Spin-offs, welche die Eigentumsrechte explizit geregelt haben.	32% sont des spin-offs qui ont explicitement réglé les droits de propriété.	32% are spin-offs that have explicitly regulated ownership rights.	Begleitung von Start-ups	0	false	false	pct2
scc_support	78	der Start-ups berichten, dass das Coaching in min. einem Bereich einen wichtigen Beitrag geleistet hat.	des start-ups rapportent que le coaching a apporté une contribution importante dans au moins un domaine.	of start-ups report that the coaching has made an important contribution in at least one area.	Begleitung von Start-ups	0	false	false	pct1
scc_support	54	Bei 54 % hat das Coaching in min. drei Bereichen einen wichtigen Beitrag geleistet.	Pour 54 %, le coaching a apporté une contribution importante dans au moins trois domaines.	For 54% of start-ups, coaching has made an important contribution in at least three areas.	Begleitung von Start-ups	0	false	false	pct2
